Educational Use Only

Time (ModJDate)        x (m)           y (m)           z (m)        vx (m/sec)      vy (m/sec)      vz (m/sec)     ax (m/sec^2)    ay (m/sec^2)    az (m/sec^2)
 53736.51597222     -218567.289     6259977.411     3609047.886    -7435.683587      444.927095      248.483960        0.230528       -6.602684       -3.816287
 53736.51608796     -292911.305     6264096.807     3611342.063    -7432.990510      378.978373      210.366763        0.308004       -6.586956       -3.807091
 53736.51620370     -367224.525     6267557.513     3613255.534    -7429.525179      313.190069      172.343337        0.384978       -6.570602       -3.797534
 53736.51631944     -441499.251     6270361.164     3614789.254    -7425.292652      247.568396      134.417274        0.461443       -6.553631       -3.787620
 53736.51643519     -515727.837     6272509.457     3615944.216    -7420.298027      182.119468       96.592112        0.537396       -6.536054       -3.777355
 53736.51655093     -589902.688     6274004.149     3616721.444    -7414.546446      116.849306       58.871332        0.612834       -6.517880       -3.766744
 53736.51666667     -664016.260     6274847.059     3617122.002    -7408.043086       51.763831       21.258361        0.687751       -6.499118       -3.755794
 53736.51678241     -738061.062     6275040.061     3617146.982    -7400.793166      -13.131125      -16.243430        0.762145       -6.479778       -3.744509
 53736.51689815     -812029.653     6274585.090     3616797.515    -7392.801934      -77.829829      -53.630725        0.836013       -6.459869       -3.732895
 53736.51701389     -885914.647     6273484.137     3616074.760    -7384.074675     -142.326639      -90.900261        0.909350       -6.439400       -3.720958
 53736.51712963     -959708.710     6271739.249     3614979.913    -7374.616702     -206.616005     -128.048830        0.982155       -6.418382       -3.708703
 53736.51724537    -1033404.563     6269352.527     3613514.198    -7364.433360     -270.692471     -165.073275        1.054424       -6.396822       -3.696135
 53736.51736111    -1106994.978     6266326.127     3611678.871    -7353.530017     -334.550671     -201.970496        1.126155       -6.374730       -3.683259
 53736.51747685    -1180472.781     6262662.259     3609475.222    -7341.912070     -398.185330     -238.737442        1.197344       -6.352115       -3.670081
 53736.51759259    -1253830.855     6258363.183     3606904.567    -7329.584938     -461.591263     -275.371116        1.267991       -6.328986       -3.656605
 53736.51770833    -1327062.134     6253431.213     3603968.254    -7316.554061     -524.763374     -311.868572        1.338093       -6.305352       -3.642838
 53736.51782407    -1400159.609     6247868.712     3600667.659    -7302.824900     -587.696654     -348.226916        1.407648       -6.281222       -3.628783
 53736.51793981    -1473116.323     6241678.092     3597004.188    -7288.402934     -650.386183     -384.443302        1.476654       -6.256603       -3.614447
 53736.51805556    -1545925.376     6234861.817     3592979.275    -7273.293660     -712.827126     -420.514939        1.545109       -6.231506       -3.599834
 53736.51817130    -1618579.923     6227422.394     3588594.381    -7257.502589     -775.014737     -456.439081        1.613013       -6.205938       -3.584949
 53736.51828704    -1691073.174     6219362.382     3583850.995    -7241.035247     -836.944350     -492.213033        1.680363       -6.179908       -3.569797
 53736.51840278    -1763398.393     6210684.382     3578750.630    -7223.897169     -898.611387     -527.834151        1.747160       -6.153424       -3.554383
 53736.51851852    -1835548.900     6201391.044     3573294.830    -7206.093905     -960.011351     -563.299836        1.813401       -6.126495       -3.538711
 53736.51863426    -1907518.072     6191485.060     3567485.160    -7187.631013    -1021.139828     -598.607538        1.879085       -6.099128       -3.522787
 53736.51875000    -1979299.340     6180969.167     3561323.214    -7168.514056    -1081.992486     -633.754755        1.944213       -6.071332       -3.506615
 53736.51886574    -2050886.191     6169846.144     3554810.608    -7148.748609    -1142.565073     -668.739030        2.008783       -6.043115       -3.490200
 53736.51898148    -2122272.169     6158118.813     3547948.984    -7128.340247    -1202.853415     -703.557953        2.072796       -6.014485       -3.473546
 53736.51909722    -2193450.872     6145790.037     3540740.008    -7107.294553    -1262.853420     -738.209161        2.136250       -5.985449       -3.456657
 53736.51921296    -2264415.954     6132862.719     3533185.368    -7085.617111    -1322.561071     -772.690333        2.199145       -5.956015       -3.439539
 53736.51932870    -2335161.127     6119339.803     3525286.776    -7063.313507    -1381.972428     -806.999196        2.261482       -5.926192       -3.422196
 53736.51944444    -2405680.156     6105224.271     3517045.966    -7040.389328    -1441.083629     -841.133518        2.323261       -5.895985       -3.404632
 53736.51956019    -2475966.864     6090519.144     3508464.695    -7016.850159    -1499.890884     -875.091112        2.384480       -5.865404       -3.386851
 53736.51967593    -2546015.128     6075227.479     3499544.740    -6992.701584    -1558.390479     -908.869835        2.445142       -5.834455       -3.368858
 53736.51979167    -2615818.882     6059352.372     3490287.901    -6967.949185    -1616.578774     -942.467584        2.505245       -5.803145       -3.350657
 53736.51990741    -2685372.117     6042896.953     3480695.998    -6942.598539    -1674.452198     -975.882299        2.564791       -5.771482       -3.332252
 53736.52002315    -2754668.878     6025864.389     3470770.872    -6916.655218    -1732.007253    -1009.111961        2.623780       -5.739472       -3.313647
 53736.52013889    -2823703.265     6008257.881     3460514.383    -6890.124790    -1789.240512    -1042.154593        2.682213       -5.707124       -3.294847
 53736.52025463    -2892469.435     5990080.663     3449928.410    -6863.012815    -1846.148616    -1075.008257        2.740090       -5.674442       -3.275854
 53736.52037037    -2960961.601     5971336.003     3439014.854    -6835.324844    -1902.728275    -1107.671054        2.797412       -5.641436       -3.256674
 53736.52048611    -3029174.030     5952027.203     3427775.631    -6807.066422    -1958.976267    -1140.141125        2.854180       -5.608110       -3.237310
 53736.52060185    -3097101.046     5932157.594     3416212.680    -6778.243083    -2014.889435    -1172.416650        2.910395       -5.574472       -3.217765
 53736.52071759    -3164737.027     5911730.541     3404327.953    -6748.860353    -2070.464688    -1204.495846        2.966059       -5.540528       -3.198045
 53736.52083333    -3232076.407     5890749.437     3392123.423    -6718.923743    -2125.699000    -1236.376968        3.021171       -5.506285       -3.178151
 53736.52094907    -3299113.674     5869217.707     3379601.079    -6688.438757    -2180.589409    -1268.058308        3.075734       -5.471749       -3.158089
 53736.52106481    -3365843.373     5847138.805     3366762.928    -6657.410883    -2235.133015    -1299.538194        3.129749       -5.436925       -3.137861
 53736.52118056    -3432260.101     5824516.212     3353610.992    -6625.845597    -2289.326980    -1330.814989        3.183217       -5.401821       -3.117471
 53736.52129630    -3498358.511     5801353.440     3340147.311    -6593.748363    -2343.168527    -1361.887093        3.236139       -5.366443       -3.096923
 53736.52141204    -3564133.313     5777654.025     3326373.938    -6561.124628    -2396.654939    -1392.752940        3.288517       -5.330795       -3.076221
 53736.52152778    -3629579.267     5753421.534     3312292.945    -6527.979825    -2449.783556    -1423.410998        3.340353       -5.294885       -3.055366
 53736.52164352    -3694691.191     5728659.556     3297906.416    -6494.319372    -2502.551781    -1453.859769        3.391648       -5.258718       -3.034364
 53736.52175926    -3759463.954     5703371.708     3283216.452    -6460.148670    -2554.957068    -1484.097787        3.442403       -5.222299       -3.013216
 53736.52187500    -3823892.481     5677561.632     3268225.167    -6425.473103    -2606.996933    -1514.123621        3.492621       -5.185634       -2.991927
 53736.52199074    -3887971.751     5651232.995     3252934.691    -6390.298038    -2658.668942    -1543.935869        3.542303       -5.148729       -2.970500
 53736.52210648    -3951696.795     5624389.488     3237347.166    -6354.628825    -2709.970721    -1573.533163        3.591451       -5.111588       -2.948937
 53736.52222222    -4015062.698     5597034.823     3221464.749    -6318.470795    -2760.899945    -1602.914165        3.640067       -5.074219       -2.927242
 53736.52233796    -4078064.599     5569172.738     3205289.609    -6281.829261    -2811.454343    -1632.077568        3.688152       -5.036624       -2.905418
 53736.52245370    -4140697.689     5540806.993     3188823.927    -6244.709515    -2861.631698    -1661.022094        3.735709       -4.998811       -2.883467
 53736.52256944    -4202957.213     5511941.368     3172069.900    -6207.116833    -2911.429841    -1689.746496        3.782740       -4.960783       -2.861393
 53736.52268519    -4264838.467     5482579.667     3155029.735    -6169.056467    -2960.846654    -1718.249556        3.829246       -4.922546       -2.839199
 53736.52280093    -4326336.801     5452725.713     3137705.651    -6130.533651    -3009.880070    -1746.530082        3.875230       -4.884104       -2.816887
 53736.52291667    -4387447.616     5422383.350     3120099.879    -6091.553600    -3058.528067    -1774.586913        3.920694       -4.845463       -2.794460
 53736.52303241    -4448166.366     5391556.443     3102214.662    -6052.121504    -3106.788674    -1802.418914        3.965639       -4.806627       -2.771921
 53736.52314815    -4508488.556     5360248.875     3084052.254    -6012.242536    -3154.659964    -1830.024977        4.010069       -4.767600       -2.749273
 53736.52326389    -4568409.744     5328464.548     3065614.919    -5971.921844    -3202.140058    -1857.404022        4.053984       -4.728388       -2.726518
 53736.52337963    -4627925.538     5296207.384     3046904.934    -5931.164557    -3249.227120    -1884.554993        4.097388       -4.688995       -2.703659
 53736.52349537    -4687031.597     5263481.321     3027924.583    -5889.975780    -3295.919359    -1911.476861        4.140283       -4.649424       -2.680698
 53736.52361111    -4745723.632     5230290.318     3008676.164    -5848.360597    -3342.215029    -1938.168622        4.182670       -4.609681       -2.657638
 53736.52372685    -4803997.404     5196638.348     2989161.981    -5806.324069    -3388.112424    -1964.629296        4.224552       -4.569770       -2.634481
 53736.52384259    -4861848.726     5162529.403     2969384.351    -5763.871234    -3433.609882    -1990.857927        4.265931       -4.529694       -2.611230
 53736.52395833    -4919273.458     5127967.489     2949345.599    -5721.007108    -3478.705780    -2016.853586        4.306811       -4.489459       -2.587887
 53736.52407407    -4976267.514     5092956.631     2929048.059    -5677.736684    -3523.398537    -2042.615362        4.347191       -4.449067       -2.564454
 53736.52418981    -5032826.854     5057500.868     2908494.074    -5634.064931    -3567.686612    -2068.142371        4.387077       -4.408523       -2.540934
 53736.52430556    -5088947.491     5021604.253     2887685.997    -5589.996796    -3611.568499    -2093.433750        4.426468       -4.367830       -2.517328
 53736.52442130    -5144625.485     4985270.856     2866626.188    -5545.537202    -3655.042736    -2118.488658        4.465369       -4.326993       -2.493640
 53736.52453704    -5199856.946     4948504.762     2845317.015    -5500.691047    -3698.107892    -2143.306275        4.503781       -4.286015       -2.469870
 53736.52465278    -5254638.034     4911310.067     2823760.856    -5455.463209    -3740.762577    -2167.885804        4.541706       -4.244899       -2.446022
 53736.52476852    -5308964.955     4873690.883     2801960.095    -5409.858539    -3783.005436    -2192.226467        4.579147       -4.203650       -2.422098
 53736.52488426    -5362833.965     4835651.335     2779917.125    -5363.881865    -3824.835147    -2216.327507        4.616107       -4.162271       -2.398098
